suplier_id,middle_num,end_num,chazhi,bili,,,,,,,,,,,,,
914,0,8444,-8444,-1,,,,,,,,,,,,,
1519,0,8076,-8076,-1,,,,,,,,,,,,,
404,0,6496,-6496,-1,,,,,,,,,,,,,
1655,0,5588,-5588,-1,,,,,,,,,,,,,
908,0,5303,-5303,-1,,,,,,,,,,,,,
387,0,5093,-5093,-1,,,,,,,,,,,,,
1614,0,2458,-2458,-1,,,,,,,,,,,,,
777,0,2389,-2389,-1,,,,,,,,,,,,,
1184,0,2045,-2045,-1,,,,,,,,,,,,,
1342,0,1970,-1970,-1,,,,,,,,,,,,,
250,0,1890,-1890,-1,,,,,,,,,,,,,
2154,0,1844,-1844,-1,,,,,,,,,,,,,
3631,0,1711,-1711,-1,,,,,,,,,,,,,
4198,0,1569,-1569,-1,,,,,,,,,,,,,
2156,0,1527,-1527,-1,,,,,,,,,,,,,
844,0,1510,-1510,-1,,,,,,,,,,,,,
13209,0,1489,-1489,-1,,,,,,,,,,,,,
3014,0,1460,-1460,-1,,,,,,,,,,,,,
300,0,1450,-1450,-1,,,,,,,,,,,,,
5013,0,1434,-1434,-1,,,,,,,,,,,,,
232,0,1426,-1426,-1,,,,,,,,,,,,,
73,0,1310,-1310,-1,,,,,,,,,,,,,
616,0,1230,-1230,-1,,,,,,,,,,,,,
4996,0,1230,-1230,-1,,,,,,,,,,,,,
7308,0,1224,-1224,-1,,,,,,,,,,,,,
116,0,1201,-1201,-1,,,,,,,,,,,,,
866,0,1166,-1166,-1,,,,,,,,,,,,,
25861,0,1080,-1080,-1,,,,,,,,,,,,,
845,0,1036,-1036,-1,,,,,,,,,,,,,
2279,0,1033,-1033,-1,,,,,,,,,,,,,
28128,0,1024,-1024,-1,,,,,,,,,,,,,
3086,0,1013,-1013,-1,,,,,,,,,,,,,
4089,0,1009,-1009,-1,,,,,,,,,,,,,
922,0,977,-977,-1,,,,,,,,,,,,,
1169,0,974,-974,-1,,,,,,,,,,,,,
383,0,972,-972,-1,,,,,,,,,,,,,
337,0,945,-945,-1,,,,,,,,,,,,,
13183,0,942,-942,-1,,,,,,,,,,,,,
6605,0,924,-924,-1,,,,,,,,,,,,,
7172,0,909,-909,-1,,,,,,,,,,,,,
997,0,901,-901,-1,,,,,,,,,,,,,
7569,0,894,-894,-1,,,,,,,,,,,,,
2954,0,885,-885,-1,,,,,,,,,,,,,
4511,0,877,-877,-1,,,,,,,,,,,,,
2975,0,867,-867,-1,,,,,,,,,,,,,
16253,0,826,-826,-1,,,,,,,,,,,,,
1700,0,818,-818,-1,,,,,,,,,,,,,
870,0,817,-817,-1,,,,,,,,,,,,,
6793,0,791,-791,-1,,,,,,,,,,,,,
1937,0,776,-776,-1,,,,,,,,,,,,,
14385,0,774,-774,-1,,,,,,,,,,,,,
1609,0,761,-761,-1,,,,,,,,,,,,,
154,0,745,-745,-1,,,,,,,,,,,,,
1994,0,745,-745,-1,,,,,,,,,,,,,
309,0,731,-731,-1,,,,,,,,,,,,,
1168,0,731,-731,-1,,,,,,,,,,,,,
1720,0,724,-724,-1,,,,,,,,,,,,,
3821,0,715,-715,-1,,,,,,,,,,,,,
1722,0,712,-712,-1,,,,,,,,,,,,,
217,0,705,-705,-1,,,,,,,,,,,,,
421,0,694,-694,-1,,,,,,,,,,,,,
6399,0,692,-692,-1,,,,,,,,,,,,,
809,0,675,-675,-1,,,,,,,,,,,,,
27513,0,673,-673,-1,,,,,,,,,,,,,
1583,0,671,-671,-1,,,,,,,,,,,,,
7459,0,669,-669,-1,,,,,,,,,,,,,
7515,0,668,-668,-1,,,,,,,,,,,,,
14844,0,660,-660,-1,,,,,,,,,,,,,
2126,0,655,-655,-1,,,,,,,,,,,,,
366,0,651,-651,-1,,,,,,,,,,,,,
1973,0,645,-645,-1,,,,,,,,,,,,,
1631,0,639,-639,-1,,,,,,,,,,,,,
98901,0,630,-630,-1,,,,,,,,,,,,,
7468,0,621,-621,-1,,,,,,,,,,,,,
1001,0,611,-611,-1,,,,,,,,,,,,,
1553,0,610,-610,-1,,,,,,,,,,,,,
568,0,597,-597,-1,,,,,,,,,,,,,
98954,0,597,-597,-1,,,,,,,,,,,,,
1491,0,588,-588,-1,,,,,,,,,,,,,
6681,0,586,-586,-1,,,,,,,,,,,,,
98835,0,586,-586,-1,,,,,,,,,,,,,
98787,0,578,-578,-1,,,,,,,,,,,,,
13194,0,569,-569,-1,,,,,,,,,,,,,
1085,0,554,-554,-1,,,,,,,,,,,,,
1401,0,552,-552,-1,,,,,,,,,,,,,
2233,0,551,-551,-1,,,,,,,,,,,,,
2152,0,544,-544,-1,,,,,,,,,,,,,
434,0,542,-542,-1,,,,,,,,,,,,,
1112,0,542,-542,-1,,,,,,,,,,,,,
7314,0,541,-541,-1,,,,,,,,,,,,,
1601,0,532,-532,-1,,,,,,,,,,,,,
1633,0,532,-532,-1,,,,,,,,,,,,,
1097,0,531,-531,-1,,,,,,,,,,,,,
98820,0,527,-527,-1,,,,,,,,,,,,,
219,0,516,-516,-1,,,,,,,,,,,,,
495,0,509,-509,-1,,,,,,,,,,,,,
7177,0,506,-506,-1,,,,,,,,,,,,,
5295,0,496,-496,-1,,,,,,,,,,,,,
1721,0,484,-484,-1,,,,,,,,,,,,,
1389,0,477,-477,-1,,,,,,,,,,,,,
277,0,463,-463,-1,,,,,,,,,,,,,
12915,0,462,-462,-1,,,,,,,,,,,,,
1624,0,457,-457,-1,,,,,,,,,,,,,
354,0,449,-449,-1,,,,,,,,,,,,,
2179,0,446,-446,-1,,,,,,,,,,,,,
1254,0,441,-441,-1,,,,,,,,,,,,,
1628,0,436,-436,-1,,,,,,,,,,,,,
7433,0,435,-435,-1,,,,,,,,,,,,,
268,0,425,-425,-1,,,,,,,,,,,,,
101141,0,425,-425,-1,,,,,,,,,,,,,
1708,0,422,-422,-1,,,,,,,,,,,,,
5361,0,419,-419,-1,,,,,,,,,,,,,
4150,0,416,-416,-1,,,,,,,,,,,,,
75631,0,416,-416,-1,,,,,,,,,,,,,
1393,0,413,-413,-1,,,,,,,,,,,,,
4804,0,407,-407,-1,,,,,,,,,,,,,
63135,0,404,-404,-1,,,,,,,,,,,,,
3136,0,400,-400,-1,,,,,,,,,,,,,
838,0,397,-397,-1,,,,,,,,,,,,,
1167,0,389,-389,-1,,,,,,,,,,,,,
1336,0,384,-384,-1,,,,,,,,,,,,,
70873,0,380,-380,-1,,,,,,,,,,,,,
6283,0,373,-373,-1,,,,,,,,,,,,,
1651,0,368,-368,-1,,,,,,,,,,,,,
1602,0,366,-366,-1,,,,,,,,,,,,,
1160,0,359,-359,-1,,,,,,,,,,,,,
602,0,355,-355,-1,,,,,,,,,,,,,
1199,0,351,-351,-1,,,,,,,,,,,,,
6472,0,351,-351,-1,,,,,,,,,,,,,
744,0,347,-347,-1,,,,,,,,,,,,,
1067,0,346,-346,-1,,,,,,,,,,,,,
912,0,344,-344,-1,,,,,,,,,,,,,
7152,0,343,-343,-1,,,,,,,,,,,,,
7119,0,339,-339,-1,,,,,,,,,,,,,
110542,0,339,-339,-1,,,,,,,,,,,,,
6128,0,324,-324,-1,,,,,,,,,,,,,
18267,0,323,-323,-1,,,,,,,,,,,,,
7371,0,320,-320,-1,,,,,,,,,,,,,
417,0,319,-319,-1,,,,,,,,,,,,,
740,0,319,-319,-1,,,,,,,,,,,,,
6489,0,319,-319,-1,,,,,,,,,,,,,
853,0,317,-317,-1,,,,,,,,,,,,,
6949,0,312,-312,-1,,,,,,,,,,,,,
2568,0,311,-311,-1,,,,,,,,,,,,,
65955,0,311,-311,-1,,,,,,,,,,,,,
3475,0,308,-308,-1,,,,,,,,,,,,,
7168,0,303,-303,-1,,,,,,,,,,,,,
1118,0,299,-299,-1,,,,,,,,,,,,,
543,0,295,-295,-1,,,,,,,,,,,,,
1208,0,294,-294,-1,,,,,,,,,,,,,
6688,0,290,-290,-1,,,,,,,,,,,,,
2127,0,287,-287,-1,,,,,,,,,,,,,
6603,0,283,-283,-1,,,,,,,,,,,,,
7446,0,282,-282,-1,,,,,,,,,,,,,
38149,0,282,-282,-1,,,,,,,,,,,,,
871,0,276,-276,-1,,,,,,,,,,,,,
3426,0,273,-273,-1,,,,,,,,,,,,,
