supplier_id,wee,order_num
9138,1,196
9140,1,5
9385,1,10
9476,1,51
9480,1,324
9747,1,111
9806,1,39
9848,1,100
9881,1,92
9890,1,201
9914,1,54
9988,1,247
10058,1,215
10074,1,28
10196,1,2
10443,1,198
10446,1,3
10829,1,2
10830,1,1
10851,1,4
10875,1,17
11070,1,37
11123,1,21
11157,1,3
11190,1,69
11368,1,4
11381,1,20
11402,1,31
11575,1,68
11586,1,29
11687,1,29
11702,1,23
11732,1,52
12126,1,20
12348,1,13
12355,1,221
12780,1,66
12850,1,45
12901,1,8
13082,1,348
13133,1,84
13215,1,158
13248,1,82
13309,1,52
13361,1,21
13387,1,9
13389,1,1
13433,1,49
13622,1,5
13760,1,9
13873,1,487
13896,1,63
13990,1,1
14431,1,11
14675,1,125
14708,1,338
14729,1,1
14792,1,115
14877,1,3
14892,1,12
15145,1,18
15161,1,1
15457,1,161
15475,1,33
15689,1,37
15909,1,84
15915,1,40
15957,1,7
15981,1,74
16006,1,14
16048,1,6
16061,1,156
16063,1,17
16075,1,36
16080,1,36
16091,1,17
16095,1,61
16247,1,44
16317,1,8
16338,1,2
16382,1,51
16482,1,499
16512,1,21
16531,1,22
16560,1,1
16566,1,78
16586,1,55
16691,1,239
17254,1,39
17282,1,9
17632,1,662
17656,1,154
17808,1,27
18059,1,15
18692,1,244
18817,1,73
18840,1,5
18949,1,6
19153,1,86
19200,1,2
19220,1,3
19284,1,57
19312,1,409
19401,1,137
19404,1,32
19468,1,362
19502,1,24
19506,1,106
19642,1,346
19714,1,82
19974,1,52
20026,1,92
20192,1,80
20436,1,86
20816,1,326
20846,1,17
20864,1,153
20867,1,60
20900,1,70
21076,1,577
21161,1,43
21189,1,144
21210,1,18
21653,1,54
21709,1,131
21801,1,85
22173,1,13
22191,1,69
22347,1,68
22387,1,13
22393,1,6
22428,1,11
22481,1,74
22535,1,27
22554,1,32
22689,1,17
22694,1,173
22711,1,345
22744,1,36
22903,1,93
22953,1,2
23162,1,214
23170,1,12
23174,1,56
23223,1,31
23225,1,217
23334,1,20
23491,1,12
23559,1,143
23674,1,33
23704,1,1
23784,1,48
23786,1,19
23848,1,14
23926,1,164
24111,1,2
24158,1,493
24684,1,82
24750,1,6
24900,1,102
24927,1,19
24981,1,59
25090,1,146
25129,1,105
25148,1,6
25181,1,108
25295,1,62
25301,1,318
25339,1,134
25349,1,198
25386,1,4
25423,1,11
25530,1,14
25543,1,99
25738,1,20
26037,1,187
26069,1,59
26071,1,1
26153,1,133
26195,1,28
26215,1,48
26221,1,232
26335,1,10
26367,1,34
26375,1,82
26405,1,3
26783,1,36
26806,1,3
26826,1,5
26913,1,23
26917,1,5
26966,1,16
27067,1,20
27077,1,53
27112,1,120
27195,1,19
27199,1,350
27208,1,79
27293,1,116
27351,1,11
27425,1,4
27469,1,195
27481,1,37
27532,1,136
27700,1,33
27760,1,90
27766,1,68
27768,1,37
27788,1,13
27821,1,48
27845,1,66
27938,1,79
27991,1,11
28050,1,1
28069,1,1
28110,1,8
28205,1,65
28487,1,20
28907,1,380
29268,1,81
29412,1,39
29415,1,5
29626,1,517
29635,1,82
29822,1,405
29828,1,18
29829,1,145
29844,1,58
29849,1,55
29895,1,12
29915,1,122
30233,1,75
30330,1,44
30339,1,7
30362,1,67
30419,1,42
30489,1,3
30527,1,429
30645,1,26
30763,1,87
30799,1,60
30898,1,29
30906,1,237
30908,1,10
30919,1,540
30934,1,6
30951,1,50
30973,1,1
30994,1,58
31060,1,16
31110,1,71
31154,1,168
31176,1,80
31218,1,122
31233,1,6
31237,1,15
31315,1,85
31317,1,762
31413,1,38
31431,1,21
31512,1,3
31666,1,12
31730,1,21
31742,1,94
31821,1,726
31893,1,58
31993,1,1
32010,1,35
32042,1,21
32131,1,23
32193,1,30
32377,1,53
32488,1,82
32507,1,1
32544,1,1
32615,1,23
32741,1,80
32829,1,15
32881,1,54
32917,1,22
33106,1,97
33116,1,27
33167,1,10
33184,1,128
33203,1,44
33277,1,3
33581,1,57
33604,1,19
33669,1,8
34219,1,105
34481,1,472
34573,1,29
34593,1,257
34603,1,4
34615,1,175
34654,1,31
34840,1,4
34885,1,1
34903,1,19
34926,1,206
34987,1,58
35027,1,51
35044,1,96
35074,1,13
35094,1,211
35260,1,197
35456,1,181
35487,1,19
35507,1,39
35530,1,8
35577,1,37
35708,1,7
35734,1,5
35755,1,47
35863,1,81
36142,1,26
36157,1,1
36258,1,156
36280,1,47
36343,1,45
36442,1,54
36470,1,37
36891,1,146
36923,1,5
36952,1,8
36953,1,74
36967,1,16
37029,1,38
37074,1,36
37127,1,54
37149,1,32
37162,1,50
37170,1,47
37171,1,368
37176,1,172
37188,1,24
37198,1,70
37212,1,2
37287,1,91
37309,1,25
37321,1,54
37352,1,52
37403,1,148
37405,1,15
37429,1,1
37494,1,149
37640,1,9
37725,1,45
37761,1,16
37867,1,43
37881,1,113
38100,1,86
38119,1,68
38166,1,281
38263,1,3
38305,1,308
38515,1,19
38520,1,5
38611,1,115
38822,1,317
39053,1,27
39390,1,16
39518,1,80
39533,1,5
39595,1,20
39656,1,320
39669,1,5
39715,1,15
39935,1,382
39940,1,16
39944,1,86
39973,1,12
40001,1,201
40103,1,52
40114,1,36
40224,1,28
40243,1,35
40321,1,41
40342,1,33
40493,1,84
40666,1,92
40719,1,83
40751,1,17
40890,1,71
40916,1,21
41067,1,5
41238,1,3
41391,1,8
41661,1,14
41680,1,46
41706,1,17
41708,1,193
41833,1,55
41873,1,22
41926,1,158
41974,1,27
42018,1,2
42026,1,1
42046,1,20
42118,1,432
42121,1,24
42128,1,121
42333,1,16
42375,1,224
42383,1,67
42447,1,2
42756,1,248
42791,1,38
42832,1,112
42837,1,2
42854,1,6
42912,1,52
42924,1,319
42930,1,90
42973,1,7
43023,1,54
43126,1,111
43160,1,19
43183,1,1
43396,1,17
43509,1,28
43614,1,22
43619,1,2
43705,1,110
43733,1,15
43987,1,16
44005,1,71
44082,1,22
44265,1,221
44274,1,61
44314,1,1
44344,1,261
44395,1,86
44511,1,2
44663,1,1
44731,1,100
44738,1,328
44740,1,34
44770,1,12
44777,1,220
44841,1,130
44843,1,122
44851,1,91
44867,1,143
44893,1,2
45074,1,45
45154,1,11
45172,1,16
45188,1,68
45303,1,109
45320,1,135
45330,1,59
45379,1,192
45398,1,55
45429,1,59
45458,1,1
45467,1,214
45486,1,33
45517,1,33
45539,1,28
45561,1,3
45653,1,32
45668,1,129
45725,1,280
45754,1,161
45788,1,34
45797,1,9
45799,1,22
45810,1,2
45814,1,348
45842,1,1
45863,1,80
45889,1,100
45931,1,3
45933,1,2
46003,1,20
46028,1,38
46061,1,208
46087,1,46
46102,1,221
46125,1,7
46149,1,107
46160,1,35
46266,1,111
46358,1,10
46389,1,32
46411,1,134
46432,1,1
46440,1,3
46471,1,30
46491,1,14
46532,1,4
46546,1,62
46547,1,5
46578,1,398
46584,1,14
46587,1,121
46613,1,51
46636,1,367
46646,1,29
46660,1,31
46688,1,67
46893,1,314
46897,1,4
46932,1,12
46968,1,32
46984,1,31
47069,1,326
47089,1,9
47172,1,24
47182,1,77
47196,1,67
47213,1,100
47277,1,31
47292,1,1
47303,1,368
47323,1,34
47325,1,23
47335,1,13
47416,1,263
47420,1,4
47426,1,164
47439,1,125
47445,1,272
47482,1,4
47503,1,3
47516,1,223
47519,1,154
47529,1,63
47541,1,4
47554,1,55
47580,1,80
47604,1,114
47619,1,2
47700,1,2
47932,1,18
47959,1,59
48021,1,16
48029,1,366
48174,1,13
48187,1,338
48223,1,115
48244,1,4
48278,1,5
48360,1,28
48373,1,176
48450,1,1
48465,1,6
48470,1,179
48565,1,69
48644,1,117
48667,1,15
48681,1,31
48709,1,90
48721,1,31
48722,1,64
48880,1,19
48914,1,8
48928,1,18
48958,1,73
49028,1,90
49040,1,18
49046,1,38
49090,1,41
49136,1,28
49220,1,44
49222,1,7
49244,1,307
49251,1,36
49274,1,9
49331,1,9
49332,1,164
49538,1,545
49774,1,80
49814,1,169
49866,1,66
49900,1,67
49903,1,170
49905,1,101
49962,1,14
49971,1,88
49997,1,76
50000,1,1
50014,1,58
50027,1,16
50115,1,3
50118,1,428
50124,1,202
50161,1,222
50394,1,77
50402,1,65
50412,1,23
50459,1,36
50492,1,149
50617,1,49
50693,1,29
50831,1,40
50835,1,176
50862,1,33
50955,1,23
50983,1,56
51051,1,94
51100,1,45
51109,1,188
51183,1,29
51212,1,41
51258,1,20
51272,1,150
51281,1,25
51286,1,12
51308,1,120
51363,1,16
51380,1,202
51412,1,56
51494,1,177
51500,1,249
51508,1,151
51568,1,201
51639,1,2
51682,1,136
52052,1,23
52094,1,59
52209,1,2
52294,1,62
52330,1,70
52579,1,140
52640,1,148
52684,1,18
52811,1,215
52897,1,235
52899,1,112
52937,1,213
52947,1,3
53016,1,52
53021,1,22
53022,1,107
53027,1,14
53044,1,62
53049,1,24
53101,1,341
53108,1,59
53157,1,282
53168,1,47
53205,1,172
53237,1,382
53329,1,30
53332,1,3
53345,1,17
53346,1,8
53352,1,3
53384,1,3
53436,1,12
53474,1,2
53562,1,29
53640,1,3
53656,1,77
53719,1,108
53725,1,8
53760,1,50
53787,1,374
53788,1,1
53791,1,97
53833,1,42
53842,1,2
53862,1,70
53863,1,110
53907,1,14
53928,1,5
53932,1,25
53953,1,28
53967,1,20
53971,1,9
53973,1,8
54004,1,76
54008,1,4
54017,1,103
54019,1,11
54081,1,16
54199,1,34
54334,1,12
54516,1,40
54540,1,17
54562,1,19
54590,1,33
54632,1,11
54661,1,114
54683,1,6
54743,1,1
54790,1,107
54816,1,26
54863,1,169
54881,1,9
54897,1,48
54923,1,9
55031,1,187
55078,1,46
55104,1,32
55141,1,3
55287,1,1
55296,1,103
55314,1,70
55315,1,6
55354,1,97
55391,1,44
55401,1,76
55406,1,13
55486,1,5
55505,1,51
55565,1,1
55585,1,11
55594,1,14
55614,1,38
55655,1,179
55674,1,133
55680,1,56
55688,1,6
55720,1,5
55749,1,371
55932,1,74
55937,1,1
55954,1,49
55976,1,98
56120,1,5
56137,1,35
56170,1,1
56230,1,1
56236,1,124
56248,1,2
56285,1,12
56348,1,12
56419,1,29
56501,1,165
56579,1,10
56589,1,20
56674,1,28
56675,1,85
56684,1,11
56764,1,154
56774,1,24
57092,1,147
57613,1,28
57705,1,19
57756,1,22
57758,1,7
57891,1,5
57905,1,1
57961,1,198
57969,1,42
57994,1,37
58004,1,44
58057,1,56
58092,1,3
58097,1,22
58098,1,117
58155,1,146
58228,1,10
58230,1,16
58436,1,1
58492,1,45
58515,1,3
58531,1,13
58557,1,34
58562,1,121
58591,1,152
58632,1,137
58678,1,9
58682,1,19
58755,1,38
58791,1,40
58833,1,33
58881,1,51
58912,1,72
58965,1,24
58996,1,55
59050,1,274
59175,1,30
59181,1,571
59474,1,27
59518,1,280
59547,1,83
59575,1,29
59583,1,72
59610,1,22
59658,1,478
59800,1,55
59824,1,62
59836,1,23
59856,1,3
59887,1,27
59894,1,19
59899,1,54
59991,1,3
60066,1,10
60107,1,40
60140,1,24
60151,1,124
60187,1,15
60195,1,21
60348,1,15
60424,1,196
60484,1,5
60561,1,49
60599,1,78
60644,1,23
60657,1,1
60684,1,2
60732,1,83
60734,1,194
60743,1,1
60774,1,77
61002,1,50
61037,1,91
61139,1,13
61209,1,114
61215,1,51
61241,1,26
61277,1,1
61321,1,9
61323,1,44
61330,1,39
61355,1,43
61383,1,15
61393,1,11
61411,1,4
61426,1,80
61510,1,146
61553,1,77
61554,1,91
61574,1,2
61626,1,149
61687,1,85
61760,1,11
61926,1,103
62451,1,114
62485,1,22
62526,1,2
62600,1,11
62620,1,35
62841,1,46
62871,1,12
62963,1,128
63014,1,174
63216,1,116
63234,1,21
63360,1,96
63386,1,1
63501,1,19
63543,1,40
63570,1,17
63609,1,34
63809,1,46
63914,1,322
63954,1,50
63962,1,31
64214,1,13
64325,1,1
64430,1,31
64436,1,1
64457,1,6
64469,1,49
64496,1,59
64522,1,31
64526,1,236
64561,1,19
64609,1,29
64769,1,114
64791,1,48
65068,1,209
65073,1,356
65077,1,39
65078,1,151
65220,1,138
65236,1,58
65263,1,22
65544,1,213
65943,1,14
65954,1,47
65967,1,25
66007,1,8
66025,1,9
66044,1,35
66117,1,14
66130,1,5
66181,1,319
66268,1,105
66278,1,1
66302,1,32
66308,1,10
66766,1,13
66854,1,88
67097,1,40
67106,1,85
67260,1,20
67289,1,121
67319,1,7
67533,1,52
67699,1,48
67768,1,91
67788,1,168
67821,1,10
67872,1,8
68019,1,66
68068,1,12
68205,1,4
68263,1,2
68332,1,29
68349,1,41
68356,1,69
68382,1,111
68411,1,1
68416,1,321
68420,1,97
68466,1,49
68518,1,35
68715,1,377
68750,1,70
68858,1,8
68913,1,60
68987,1,3
69101,1,102
69102,1,19
69146,1,90
69192,1,1
69215,1,2
69230,1,26
69258,1,2
69337,1,30
69394,1,18
69584,1,30
69634,1,95
69873,1,97
69903,1,1
70044,1,11
70160,1,44
70226,1,6
70343,1,109
70392,1,71
70397,1,9
70449,1,355
70654,1,68
70791,1,145
70799,1,1
70811,1,92
70875,1,30
70910,1,60
70957,1,24
71231,1,46
71311,1,3
71394,1,7
71485,1,85
71645,1,164
71719,1,84
71808,1,26
71861,1,104
71898,1,25
71903,1,312
71907,1,48
71956,1,272
71979,1,7
72041,1,27
72050,1,189
72098,1,5
72126,1,239
72216,1,4
72242,1,153
72260,1,67
72282,1,4
72310,1,176
72411,1,385
72412,1,81
72419,1,73
72489,1,14
72569,1,129
72630,1,1
72669,1,29
72700,1,52
72752,1,7
72855,1,275
72860,1,100
72878,1,100
72918,1,99
73046,1,8
73101,1,1
73171,1,264
73345,1,69
73348,1,24
73451,1,136
73520,1,15
73640,1,59
73658,1,1
73677,1,130
73751,1,18
73774,1,8
73816,1,44
73888,1,8
73890,1,40
74009,1,88
74190,1,71
74191,1,229
74494,1,58
74552,1,11
74776,1,106
74832,1,15
74869,1,10
74871,1,2
75151,1,12
75230,1,1
75258,1,133
75348,1,80
75525,1,91
75549,1,47
75678,1,1
75693,1,1
75783,1,25
75806,1,22
75852,1,110
75911,1,29
76010,1,143
76055,1,376
76317,1,38
76341,1,25
76391,1,64
76471,1,51
76503,1,174
76683,1,10
76734,1,13
76817,1,3
76837,1,1
76894,1,7
76932,1,1
76955,1,365
76971,1,9
77080,1,8
77089,1,48
77138,1,20
77154,1,78
77183,1,103
77210,1,5
77245,1,191
77309,1,83
77328,1,12
77476,1,2
77574,1,83
77593,1,55
77808,1,110
77883,1,18
77902,1,22
78116,1,112
78176,1,1
78252,1,3
78359,1,6
78401,1,37
78429,1,17
78450,1,21
78473,1,8
78861,1,7
78939,1,3
78961,1,3
78969,1,128
79044,1,4
79096,1,1
79099,1,8
79105,1,8
79158,1,166
79208,1,388
79231,1,8
79295,1,2
79344,1,38
79382,1,1
79387,1,45
79388,1,15
79435,1,2
79457,1,206
79480,1,113
79542,1,225
79840,1,1
79875,1,5
79887,1,2
79983,1,9
80041,1,23
80110,1,4
80138,1,101
80170,1,117
80230,1,186
80290,1,234
80292,1,163
80530,1,4
80717,1,58
80732,1,3
80745,1,16
80773,1,7
80839,1,1
80886,1,10
80915,1,2
80936,1,31
80953,1,12
81004,1,63
81028,1,22
81062,1,90
81085,1,129
81145,1,497
81193,1,12
81213,1,3
81370,1,64
81531,1,86
81580,1,118
81876,1,28
81883,1,70
81904,1,18
81943,1,31
82023,1,128
82056,1,12
82083,1,25
82115,1,41
82148,1,381
82231,1,35
82233,1,1
82253,1,29
82280,1,5
82295,1,2
82303,1,19
82317,1,2
82335,1,164
82338,1,54
82481,1,429
82543,1,12
82554,1,61
82663,1,7
82675,1,9
82684,1,63
82701,1,9
82765,1,71
82809,1,166
82994,1,52
83038,1,126
83062,1,1
83091,1,3
83121,1,17
83129,1,221
83184,1,2
83235,1,33
83285,1,24
83316,1,264
83358,1,28
83401,1,263
83518,1,66
83522,1,17
83596,1,20
83701,1,151
83832,1,433
83860,1,2
83950,1,21
84217,1,16
84340,1,21
84359,1,23
84374,1,135
84380,1,31
84424,1,15
84440,1,52
84457,1,270
84458,1,5
84477,1,5
84491,1,433
84517,1,14
84538,1,12
84594,1,87
84603,1,10
84623,1,23
84636,1,256
84694,1,7
84722,1,1
84739,1,27
84741,1,144
84742,1,7
84800,1,186
84838,1,31
84848,1,129
84897,1,97
84981,1,33
85038,1,8
85050,1,48
85076,1,2
85106,1,8
85124,1,17
85145,1,39
85150,1,249
85157,1,93
85168,1,29
85386,1,44
85410,1,8
85444,1,81
85470,1,631
85483,1,2
85516,1,41
85555,1,92
85637,1,232
85663,1,19
85738,1,223
85759,1,51
85872,1,5
85951,1,39
85976,1,9
86010,1,7
86020,1,79
86026,1,18
86040,1,17
86074,1,25
86075,1,56
86089,1,4
86179,1,122
86208,1,90
86251,1,56
86255,1,104
86349,1,52
86358,1,9
86387,1,173
86414,1,40
86587,1,21
86779,1,14
86990,1,8
87032,1,9
87137,1,32
87154,1,324
87196,1,133
87227,1,18
87260,1,103
87279,1,681
87330,1,150
87354,1,7
87435,1,121
87440,1,14
87588,1,50
87677,1,16
88070,1,131
88160,1,3
88231,1,21
88242,1,48
88355,1,232
88465,1,6
88603,1,34
