create_dt,supplier_id,city_id,fee_per_user_label,order_shuliang_label,active_label,create_day_label
2015/12/28,125,1,20-25yuan,500+order,high,15-30day
2015/12/28,148,1,30-35yuan,200-500order,high,30+day
2015/12/28,156,1,30-35yuan,500+order,high,30+day
2015/12/28,193,1,30-35yuan,200-500order,high,30+day
2015/12/28,216,1,20-25yuan,500+order,high,15-30day
2015/12/28,222,1,30-35yuan,10-50order,low,30+day
2015/12/28,239,1,35-40yuan,200-500order,high,30+day
2015/12/28,247,1,30-35yuan,50-100order,low,15-30day
2015/12/28,262,1,25-30yuan,200-500order,high,15-30day
2015/12/28,273,1,20-25yuan,200-500order,high,15-30day
2015/12/28,275,1,25-30yuan,200-500order,high,15-30day
2015/12/28,282,1,25-30yuan,100-200order,high,15-30day
2015/12/28,314,1,20-25yuan,100-200order,high,7-15day
2015/12/28,348,1,25-30yuan,10-50order,low,15-30day
2015/12/28,349,2,25-30yuan,100-200order,high,15-30day
2015/12/28,350,1,20-25yuan,50-100order,high,7-15day
2015/12/28,356,1,30-35yuan,100-200order,high,15-30day
2015/12/28,357,1,25-30yuan,200-500order,high,15-30day
2015/12/28,361,1,25-30yuan,200-500order,high,30+day
2015/12/28,367,1,20-25yuan,200-500order,high,30+day
2015/12/28,371,1,40+yuan,10-50order,low,7-15day
2015/12/28,415,1,30-35yuan,200-500order,high,15-30day
2015/12/28,425,1,25-30yuan,500+order,high,15-30day
2015/12/28,429,1,25-30yuan,500+order,high,30+day
2015/12/28,430,1,25-30yuan,200-500order,high,15-30day
2015/12/28,436,1,35-40yuan,500+order,high,30+day
2015/12/28,447,1,25-30yuan,0-10order,low,30+day
2015/12/28,450,1,30-35yuan,100-200order,high,15-30day
2015/12/28,466,1,25-30yuan,0-10order,low,15-30day
2015/12/28,469,1,25-30yuan,100-200order,high,15-30day
2015/12/28,473,1,25-30yuan,200-500order,high,30+day
2015/12/28,476,1,30-35yuan,10-50order,low,30+day
2015/12/28,477,1,25-30yuan,500+order,high,30+day
2015/12/28,480,1,30-35yuan,500+order,high,15-30day
2015/12/28,516,1,30-35yuan,100-200order,low,30+day
2015/12/28,519,1,40+yuan,200-500order,high,30+day
2015/12/28,520,1,20-25yuan,50-100order,low,15-30day
2015/12/28,530,1,35-40yuan,100-200order,high,15-30day
2015/12/28,544,1,20-25yuan,500+order,high,30+day
2015/12/28,548,1,30-35yuan,100-200order,high,30+day
2015/12/28,562,1,35-40yuan,500+order,high,15-30day
2015/12/28,566,1,25-30yuan,500+order,high,30+day
2015/12/28,574,1,40+yuan,0-10order,low,15-30day
2015/12/28,575,1,35-40yuan,200-500order,high,30+day
2015/12/28,578,1,25-30yuan,500+order,high,15-30day
2015/12/28,595,1,30-35yuan,10-50order,low,30+day
2015/12/28,598,1,35-40yuan,50-100order,low,7-15day
2015/12/28,611,2,25-30yuan,200-500order,high,7-15day
2015/12/28,613,1,35-40yuan,10-50order,low,15-30day
2015/12/28,621,1,30-35yuan,500+order,low,30+day
2015/12/28,626,1,25-30yuan,500+order,high,30+day
2015/12/28,636,1,25-30yuan,100-200order,low,30+day
2015/12/28,638,1,25-30yuan,50-100order,low,7-15day
2015/12/28,639,1,35-40yuan,100-200order,low,30+day
2015/12/28,654,1,25-30yuan,100-200order,high,7-15day
2015/12/28,661,1,40+yuan,10-50order,low,15-30day
2015/12/28,667,2,30-35yuan,10-50order,low,7-15day
2015/12/28,668,1,40+yuan,0-10order,low,15-30day
2015/12/28,671,1,40+yuan,10-50order,low,15-30day
2015/12/28,674,1,20-25yuan,500+order,high,30+day
2015/12/28,683,2,30-35yuan,500+order,low,15-30day
2015/12/28,685,1,25-30yuan,500+order,high,30+day
2015/12/28,693,1,25-30yuan,100-200order,high,15-30day
2015/12/28,701,2,20-25yuan,100-200order,high,15-30day
2015/12/28,703,2,25-30yuan,50-100order,low,15-30day
2015/12/28,708,2,25-30yuan,500+order,high,15-30day
2015/12/28,722,1,20-25yuan,200-500order,high,15-30day
2015/12/28,737,1,30-35yuan,500+order,high,30+day
2015/12/28,755,1,25-30yuan,100-200order,high,15-30day
2015/12/28,761,1,30-35yuan,500+order,high,30+day
2015/12/28,766,1,30-35yuan,50-100order,high,30+day
2015/12/28,770,1,30-35yuan,100-200order,high,15-30day
2015/12/28,775,1,40+yuan,100-200order,high,15-30day
2015/12/28,779,2,25-30yuan,200-500order,high,15-30day
2015/12/28,782,2,25-30yuan,200-500order,high,15-30day
2015/12/28,789,1,20-25yuan,200-500order,high,30+day
2015/12/28,791,1,30-35yuan,200-500order,high,15-30day
2015/12/28,802,1,30-35yuan,10-50order,low,15-30day
2015/12/28,805,1,30-35yuan,0-10order,low,15-30day
2015/12/28,812,1,25-30yuan,200-500order,low,30+day
2015/12/28,818,1,25-30yuan,10-50order,low,30+day
2015/12/28,828,1,35-40yuan,50-100order,low,30+day
2015/12/28,829,1,30-35yuan,500+order,high,15-30day
2015/12/28,833,1,25-30yuan,10-50order,low,15-30day
2015/12/28,848,1,25-30yuan,200-500order,high,15-30day
2015/12/28,850,1,25-30yuan,100-200order,low,15-30day
2015/12/28,851,1,30-35yuan,500+order,high,15-30day
2015/12/28,854,1,40+yuan,50-100order,high,15-30day
2015/12/28,867,1,40+yuan,50-100order,high,15-30day
2015/12/28,884,1,20-25yuan,200-500order,high,30+day
2015/12/28,888,1,35-40yuan,200-500order,high,15-30day
2015/12/28,890,1,25-30yuan,200-500order,high,15-30day
2015/12/28,894,1,25-30yuan,200-500order,high,15-30day
2015/12/28,900,1,25-30yuan,200-500order,high,15-30day
2015/12/28,903,1,25-30yuan,200-500order,high,15-30day
2015/12/28,911,1,35-40yuan,200-500order,high,15-30day
2015/12/28,916,1,30-35yuan,50-100order,high,3-7day
2015/12/28,926,1,25-30yuan,200-500order,high,15-30day
2015/12/28,928,1,30-35yuan,50-100order,high,15-30day
2015/12/28,929,1,20-25yuan,500+order,high,30+day
2015/12/28,931,1,25-30yuan,200-500order,high,15-30day
2015/12/28,941,1,35-40yuan,100-200order,high,30+day
2015/12/28,945,1,35-40yuan,100-200order,low,30+day
2015/12/28,948,1,30-35yuan,100-200order,low,30+day
2015/12/28,955,1,25-30yuan,500+order,high,15-30day
2015/12/28,956,1,25-30yuan,500+order,high,30+day
2015/12/28,978,1,20-25yuan,100-200order,high,15-30day
2015/12/28,980,1,40+yuan,100-200order,low,15-30day
2015/12/28,984,1,25-30yuan,500+order,high,15-30day
2015/12/28,989,1,25-30yuan,10-50order,low,30+day
2015/12/28,996,1,30-35yuan,200-500order,high,30+day
2015/12/28,1004,1,20-25yuan,200-500order,high,15-30day
2015/12/28,1011,1,20-25yuan,500+order,high,30+day
2015/12/28,1012,1,25-30yuan,500+order,high,30+day
2015/12/28,1014,1,30-35yuan,10-50order,high,3-7day
2015/12/28,1019,1,25-30yuan,500+order,high,30+day
2015/12/28,1039,1,25-30yuan,100-200order,high,15-30day
2015/12/28,1040,1,30-35yuan,100-200order,high,15-30day
2015/12/28,1049,1,25-30yuan,50-100order,low,30+day
2015/12/28,1051,1,30-35yuan,100-200order,high,15-30day
2015/12/28,1060,1,30-35yuan,200-500order,high,30+day
2015/12/28,1068,1,20-25yuan,500+order,high,30+day
2015/12/28,1069,1,40+yuan,10-50order,low,15-30day
2015/12/28,1091,1,30-35yuan,500+order,high,30+day
2015/12/28,1094,1,30-35yuan,500+order,high,30+day
2015/12/28,1095,1,25-30yuan,200-500order,high,15-30day
2015/12/28,1113,1,30-35yuan,100-200order,high,15-30day
2015/12/28,1126,1,35-40yuan,500+order,high,15-30day
2015/12/28,1128,1,35-40yuan,500+order,high,15-30day
2015/12/28,1132,1,25-30yuan,200-500order,high,15-30day
2015/12/28,1142,1,25-30yuan,200-500order,low,15-30day
2015/12/28,1143,1,25-30yuan,10-50order,low,15-30day
2015/12/28,1149,1,30-35yuan,500+order,high,15-30day
2015/12/28,1170,1,25-30yuan,200-500order,high,15-30day
2015/12/28,1179,2,25-30yuan,200-500order,high,15-30day
2015/12/28,1180,1,25-30yuan,500+order,high,15-30day
2015/12/28,1181,1,25-30yuan,500+order,high,30+day
2015/12/28,1194,1,25-30yuan,10-50order,low,15-30day
