create_dt,supplier_id,city_id,fee_sum,fee_per_user,order_shuliang,active_day,active_lv,supplier_first_date
2015/12/28,125,1,15011.00,24.935216,602,23,1.0000,23
2015/12/28,148,1,8546.00,34.047809,251,30,1.0000,31
2015/12/28,156,1,26991.00,34.917206,773,30,1.0000,159
2015/12/28,193,1,10234.00,32.488889,315,28,0.9333,32
2015/12/28,216,1,20571.00,24.031542,856,18,1.0000,18
2015/12/28,222,1,741.00,33.681818,22,13,0.4333,31
2015/12/28,239,1,12587.60,38.612270,326,30,1.0000,30
2015/12/28,247,1,2383.00,32.643836,73,23,0.8214,28
2015/12/28,262,1,13403.00,28.098532,477,28,1.0000,28
2015/12/28,273,1,6727.00,23.686620,284,28,1.0000,28
2015/12/28,275,1,8479.00,26.332298,322,21,1.0000,21
2015/12/28,282,1,3933.50,25.878289,152,16,1.0000,16
2015/12/28,314,1,4620.50,23.218593,199,9,1.0000,9
2015/12/28,348,1,667.00,25.653846,26,10,0.5263,19
2015/12/28,349,2,4965.00,28.210227,176,17,1.0000,17
2015/12/28,350,1,2100.00,22.340426,94,7,1.0000,7
2015/12/28,356,1,5030.00,33.533333,150,18,1.0000,18
2015/12/28,357,1,5766.00,27.070423,213,26,1.0000,26
2015/12/28,361,1,8373.00,28.674658,292,29,0.9667,31
2015/12/28,367,1,6807.00,24.224199,281,30,1.0000,31
2015/12/28,371,1,740.00,67.272727,11,9,0.6429,14
2015/12/28,415,1,7023.00,32.665116,215,24,1.0000,24
2015/12/28,425,1,17436.50,26.620611,655,27,1.0000,27
2015/12/28,429,1,14707.90,26.031681,565,30,1.0000,30
2015/12/28,430,1,8125.00,27.449324,296,17,1.0000,17
2015/12/28,436,1,28814.00,36.335435,793,30,1.0000,32
2015/12/28,447,1,211.50,26.437500,8,3,0.1000,108
2015/12/28,450,1,5223.00,33.267516,157,29,1.0000,29
2015/12/28,466,1,76.00,25.333333,3,2,0.0800,25
2015/12/28,469,1,4100.50,29.500000,139,28,1.0000,28
2015/12/28,473,1,11009.00,27.800505,396,30,1.0000,31
2015/12/28,476,1,1364.00,33.268293,41,15,0.5000,32
2015/12/28,477,1,26791.50,25.810694,1038,30,1.0000,31
2015/12/28,480,1,20293.00,31.609034,642,20,1.0000,20
2015/12/28,516,1,3376.00,32.461538,104,24,0.8000,32
2015/12/28,519,1,15108.00,49.211726,307,30,1.0000,31
2015/12/28,520,1,1740.50,24.864286,70,24,0.8571,28
2015/12/28,530,1,5013.00,37.691729,133,22,1.0000,22
